"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,Zone,"Origin City","Origin State","Destination City","Destination State","Pickup Pincode","Charged Weight","Freight Charges","COD Charges",IGST,SGST,CGST,"Grand Total","Order Type"
Forward,"Air Xpressbees 0.5 K.G",14345160225504,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665227,#DERMA2940018,COD,442401,Chandrapur,z3,AHMEDABAD,GUJARAT,Chandrapur,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225505,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665228,#DERMA2939337,COD,226003,LUCKNOW,z6,AHMEDABAD,GUJARAT,LUCKNOW,"UTTAR PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225507,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665229,#DERMA2939745,COD,110086,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225506,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665230,#DERMA2939275,COD,452001,INDORE,z6,AHMEDABAD,GUJARAT,INDORE,"MADHYA PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225508,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24665231,#DERMA2940033,COD,732128,Malda,z6,AHMEDABAD,GUJARAT,Malda,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225509,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665232,#DERMA2940049,COD,636307,Salem,z6,AHMEDABAD,GUJARAT,Salem,"TAMIL NADU",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225510,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665233,#DERMA2939642,COD,711313,KOLKATA,z6,AHMEDABAD,GUJARAT,KOLKATA,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225511,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665234,#DERMA2939454,COD,262701,"LAKHIMPUR KHIRI",z6,AHMEDABAD,GUJARAT,"LAKHIMPUR KHIRI","UTTAR PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225512,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665235,#DERMA2939374,COD,491001,DURG,z6,AHMEDABAD,GUJARAT,DURG,CHHATTISGARH,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225513,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665236,#DERMA2939171,COD,470004,MAKRONIYA,z6,AHMEDABAD,GUJARAT,MAKRONIYA,"MADHYA PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225514,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665237,#DERMA2939685,COD,284001,JHANSI,z6,AHMEDABAD,GUJARAT,JHANSI,"UTTAR PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225515,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665238,#DERMA2939619,COD,785010,JORHAT,z5,AHMEDABAD,GUJARAT,JORHAT,ASSAM,380018,0.5,43.22,13.56,0,5.11,5.11,67,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225516,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665239,#DERMA2939990,COD,304001,Tonk,z6,AHMEDABAD,GUJARAT,Tonk,RAJASTHAN,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225517,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665240,#DERMA2939179,COD,534312,"JANGAREDDY GUDEM",z6,AHMEDABAD,GUJARAT,"JANGAREDDY GUDEM","ANDHRA PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225518,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665241,#DERMA2939232,COD,110027,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225519,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665242,#DERMA2938940,COD,110063,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225520,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665243,#DERMA2939347,COD,400101,MUMBAI,z3,AHMEDABAD,GUJARAT,MUMBAI,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225521,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665244,#DERMA2938523,COD,282007,AGRA,z6,AHMEDABAD,GUJARAT,AGRA,"UTTAR PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225522,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665245,#DERMA2938841,COD,110095,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225523,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665246,#DERMA2938987,COD,535002,Vizianagaram,z6,AHMEDABAD,GUJARAT,Vizianagaram,"ANDHRA PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225524,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665247,#DERMA2938860,COD,440010,NAGPUR,z3,AHMEDABAD,GUJARAT,NAGPUR,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225526,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665248,#DERMA2939065,COD,494226,KONDAGAON,z6,AHMEDABAD,GUJARAT,KONDAGAON,CHHATTISGARH,380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225525,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24665249,#DERMA2938991,COD,733124,GANGARAMPUR,z6,AHMEDABAD,GUJARAT,GANGARAMPUR,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225527,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665250,#DERMA2938543,COD,626203,VIRUDHUNAGAR,z6,AHMEDABAD,GUJARAT,VIRUDHUNAGAR,"TAMIL NADU",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225528,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665251,#DERMA2938811,COD,753014,BHUBANESWAR,z6,AHMEDABAD,GUJARAT,BHUBANESWAR,Odisha,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225529,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665252,#DERMA2939038,COD,474006,GWALIOR,z6,AHMEDABAD,GUJARAT,GWALIOR,"MADHYA PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
